Record Length,Analog:100000
Sample Interval,CH1:5.000000E-10
Vertical Units,CH1:V
Vertical Scale,CH1:+5.000000E-01
Vertical Offset,CH1:-9.666667E-01
Horizontal Units,s
Horizontal Scale,+5.000000E-06
Model Number,T3DSO2204A
Serial Number,T0101C20460682
Software Version,5.0.1.3.7R5
Source,CH1
Second,Value
-2.491600E-05,-3.333336E-02
-2.491550E-05,-1.666677E-02
-2.491500E-05,-3.333336E-02
-2.491450E-05,-3.333336E-02
-2.491400E-05,-3.333336E-02
-2.491350E-05,-1.666677E-02
-2.491300E-05,-3.333336E-02
-2.491250E-05,-3.333336E-02
-2.491200E-05,-3.333336E-02
-2.491150E-05,-1.666677E-02
-2.491100E-05,-1.666677E-02
-2.491050E-05,-3.333336E-02
-2.491000E-05,-3.333336E-02
-2.490950E-05,-1.666677E-02
-2.490900E-05,-3.333336E-02
-2.490850E-05,-3.333336E-02
-2.490800E-05,-3.333336E-02
-2.490750E-05,-1.666677E-02
-2.490700E-05,-3.333336E-02
-2.490650E-05,-3.333336E-02
-2.490600E-05,-5.000013E-02
-2.490550E-05,-1.666677E-02
-2.490500E-05,-3.333336E-02
-2.490450E-05,-3.333336E-02
-2.490400E-05,-3.333336E-02
-2.490350E-05,-1.666677E-02
-2.490300E-05,-3.333336E-02
-2.490250E-05,-3.333336E-02
-2.490200E-05,-3.333336E-02
-2.490150E-05,-1.666677E-02
-2.490100E-05,-3.333336E-02
-2.490050E-05,-3.333336E-02
-2.490000E-05,-3.333336E-02
-2.489950E-05,-1.666677E-02
-2.489900E-05,-3.333336E-02
-2.489850E-05,-3.333336E-02
-2.489800E-05,-3.333336E-02
-2.489750E-05,-1.666677E-02
-2.489700E-05,-3.333336E-02
-2.489650E-05,-3.333336E-02
-2.489600E-05,-3.333336E-02
-2.489550E-05,-1.666677E-02
-2.489500E-05,-3.333336E-02
-2.489450E-05,-3.333336E-02
-2.489400E-05,-3.333336E-02
-2.489350E-05,-1.666677E-02
-2.489300E-05,-3.333336E-02
-2.489250E-05,-3.333336E-02
-2.489200E-05,-3.333336E-02
-2.489150E-05,-3.333336E-02
-2.489100E-05,-3.333336E-02
-2.489050E-05,-3.333336E-02
-2.489000E-05,-3.333336E-02
-2.488950E-05,-1.666677E-02
-2.488900E-05,-3.333336E-02
-2.488850E-05,-3.333336E-02
-2.488800E-05,-3.333336E-02
-2.488750E-05,-3.333336E-02
-2.488700E-05,-3.333336E-02
-2.488650E-05,-3.333336E-02
-2.488600E-05,-3.333336E-02
-2.488550E-05,-3.333336E-02
-2.488500E-05,-3.333336E-02
-2.488450E-05,-3.333336E-02
-2.488400E-05,-3.333336E-02
-2.488350E-05,-3.333336E-02
-2.488300E-05,-3.333336E-02
-2.488250E-05,-3.333336E-02
-2.488200E-05,-3.333336E-02
-2.488150E-05,-3.333336E-02
-2.488100E-05,-3.333336E-02
-2.488050E-05,-3.333336E-02
-2.488000E-05,-3.333336E-02
-2.487950E-05,-1.666677E-02
-2.487900E-05,-3.333336E-02
-2.487850E-05,-3.333336E-02
-2.487800E-05,-3.333336E-02
-2.487750E-05,-3.333336E-02
-2.487700E-05,-3.333336E-02
-2.487650E-05,-3.333336E-02
-2.487600E-05,-3.333336E-02
-2.487550E-05,-3.333336E-02
-2.487500E-05,-3.333336E-02
-2.487450E-05,-3.333336E-02
-2.487400E-05,-3.333336E-02
-2.487350E-05,-1.666677E-02
-2.487300E-05,-3.333336E-02
-2.487250E-05,-3.333336E-02
-2.487200E-05,-3.333336E-02
-2.487150E-05,-1.666677E-02
-2.487100E-05,-3.333336E-02
-2.487050E-05,-3.333336E-02
-2.487000E-05,-3.333336E-02
-2.486950E-05,-1.666677E-02
-2.486900E-05,-3.333336E-02
-2.486850E-05,-3.333336E-02
-2.486800E-05,-3.333336E-02
-2.486750E-05,-3.333336E-02
-2.486700E-05,-3.333336E-02
-2.486650E-05,-3.333336E-02
-2.486600E-05,-3.333336E-02
-2.486550E-05,-3.333336E-02
-2.486500E-05,-3.333336E-02
-2.486450E-05,-3.333336E-02
-2.486400E-05,-3.333336E-02
-2.486350E-05,-3.333336E-02
-2.486300E-05,-3.333336E-02
-2.486250E-05,-5.000013E-02
-2.486200E-05,-3.333336E-02
-2.486150E-05,-3.333336E-02
-2.486100E-05,-3.333336E-02
-2.486050E-05,-3.333336E-02
-2.486000E-05,-5.000013E-02
-2.485950E-05,-1.666677E-02
-2.485900E-05,-3.333336E-02
-2.485850E-05,-3.333336E-02
-2.485800E-05,-5.000013E-02
-2.485750E-05,-3.333336E-02
-2.485700E-05,-3.333336E-02
-2.485650E-05,-3.333336E-02
-2.485600E-05,-3.333336E-02
-2.485550E-05,-3.333336E-02
-2.485500E-05,-3.333336E-02
-2.485450E-05,-3.333336E-02
-2.485400E-05,-3.333336E-02
