Record Length,Analog:10000
Sample Interval,CH1:5.000000E-10
Vertical Units,CH1:V
Vertical Scale,CH1:+2.950000E-01
Vertical Offset,CH1:+0.000000E+00
Horizontal Units,s
Horizontal Scale,+5.000000E-07
Model Number,T3DSO2204A
Serial Number,T0101C20460682
Software Version,5.0.1.3.7R5
Source,CH1
Second,Value
-2.416000E-06,-7.965000E-01
-2.415500E-06,-8.063333E-01
-2.415000E-06,-8.063333E-01
-2.414500E-06,-8.063333E-01
-2.414000E-06,-7.965000E-01
-2.413500E-06,-8.063333E-01
-2.413000E-06,-8.063333E-01
-2.412500E-06,-8.161666E-01
-2.412000E-06,-7.965000E-01
-2.411500E-06,-8.161666E-01
-2.411000E-06,-8.063333E-01
-2.410500E-06,-8.161666E-01
-2.410000E-06,-8.063333E-01
-2.409500E-06,-8.161666E-01
-2.409000E-06,-8.063333E-01
-2.408500E-06,-8.161666E-01
-2.408000E-06,-8.063333E-01
-2.407500E-06,-8.161666E-01
-2.407000E-06,-8.161666E-01
-2.406500E-06,-8.161666E-01
-2.406000E-06,-8.063333E-01
-2.405500E-06,-8.260000E-01
-2.405000E-06,-8.161666E-01
-2.404500E-06,-8.161666E-01
-2.404000E-06,-8.161666E-01
-2.403500E-06,-8.260000E-01
-2.403000E-06,-8.260000E-01
-2.402500E-06,-8.260000E-01
-2.402000E-06,-8.161666E-01
-2.401500E-06,-8.260000E-01
-2.401000E-06,-8.260000E-01
-2.400500E-06,-8.260000E-01
-2.400000E-06,-8.260000E-01
-2.399500E-06,-8.358333E-01
-2.399000E-06,-8.260000E-01
-2.398500E-06,-8.358333E-01
-2.398000E-06,-8.260000E-01
-2.397500E-06,-8.358333E-01
-2.397000E-06,-8.260000E-01
-2.396500E-06,-8.358333E-01
-2.396000E-06,-8.260000E-01
-2.395500E-06,-8.358333E-01
-2.395000E-06,-8.260000E-01
-2.394500E-06,-8.358333E-01
-2.394000E-06,-8.260000E-01
-2.393500E-06,-8.358333E-01
-2.393000E-06,-8.358333E-01
-2.392500E-06,-8.358333E-01
-2.392000E-06,-8.358333E-01
-2.391500E-06,-8.456666E-01
-2.391000E-06,-8.358333E-01
-2.390500E-06,-8.456666E-01
-2.390000E-06,-8.358333E-01
-2.389500E-06,-8.456666E-01
-2.389000E-06,-8.358333E-01
-2.388500E-06,-8.456666E-01
-2.388000E-06,-8.358333E-01
-2.387500E-06,-8.456666E-01
-2.387000E-06,-8.358333E-01
-2.386500E-06,-8.456666E-01
-2.386000E-06,-8.358333E-01
-2.385500E-06,-8.456666E-01
-2.385000E-06,-8.456666E-01
-2.384500E-06,-8.456666E-01
-2.384000E-06,-8.456666E-01
-2.383500E-06,-8.456666E-01
-2.383000E-06,-8.456666E-01
-2.382500E-06,-8.456666E-01
-2.382000E-06,-8.358333E-01
-2.381500E-06,-8.456666E-01
-2.381000E-06,-8.456666E-01
-2.380500E-06,-8.555000E-01
-2.380000E-06,-8.456666E-01
-2.379500E-06,-8.555000E-01
-2.379000E-06,-8.456666E-01
-2.378500E-06,-8.555000E-01
-2.378000E-06,-8.456666E-01
-2.377500E-06,-8.555000E-01
-2.377000E-06,-8.555000E-01
-2.376500E-06,-8.555000E-01
-2.376000E-06,-8.456666E-01
-2.375500E-06,-8.555000E-01
-2.375000E-06,-8.555000E-01
-2.374500E-06,-8.555000E-01
-2.374000E-06,-8.456666E-01
-2.373500E-06,-8.555000E-01
-2.373000E-06,-8.555000E-01
-2.372500E-06,-8.555000E-01
-2.372000E-06,-8.456666E-01
-2.371500E-06,-8.555000E-01
-2.371000E-06,-8.555000E-01
-2.370500E-06,-8.555000E-01
-2.370000E-06,-8.456666E-01
-2.369500E-06,-8.555000E-01
-2.369000E-06,-8.555000E-01
-2.368500E-06,-8.653333E-01
-2.368000E-06,-8.555000E-01
-2.367500E-06,-8.653333E-01
-2.367000E-06,-8.653333E-01
-2.366500E-06,-8.653333E-01
-2.366000E-06,-8.555000E-01
-2.365500E-06,-8.653333E-01
-2.365000E-06,-8.653333E-01
-2.364500E-06,-8.653333E-01
-2.364000E-06,-8.555000E-01
-2.363500E-06,-8.653333E-01
-2.363000E-06,-8.653333E-01
-2.362500E-06,-8.653333E-01
-2.362000E-06,-8.555000E-01
-2.361500E-06,-8.653333E-01
-2.361000E-06,-8.653333E-01
-2.360500E-06,-8.653333E-01
-2.360000E-06,-8.555000E-01
-2.359500E-06,-8.653333E-01
-2.359000E-06,-8.653333E-01
-2.358500E-06,-8.751667E-01
-2.358000E-06,-8.555000E-01
-2.357500E-06,-8.653333E-01
-2.357000E-06,-8.653333E-01
-2.356500E-06,-8.751667E-01
-2.356000E-06,-8.555000E-01
-2.355500E-06,-8.653333E-01
-2.355000E-06,-8.653333E-01
-2.354500E-06,-8.751667E-01
-2.354000E-06,-8.653333E-01
-2.353500E-06,-8.653333E-01
-2.353000E-06,-8.751667E-01
-2.352500E-06,-8.751667E-01
-2.352000E-06,-8.653333E-01
-2.351500E-06,-8.751667E-01
-2.351000E-06,-8.751667E-01
-2.350500E-06,-8.751667E-01
-2.350000E-06,-8.653333E-01
-2.349500E-06,-8.751667E-01
-2.349000E-06,-8.751667E-01
-2.348500E-06,-8.751667E-01
-2.348000E-06,-8.653333E-01
-2.347500E-06,-8.751667E-01
-2.347000E-06,-8.751667E-01
-2.346500E-06,-8.751667E-01
-2.346000E-06,-8.653333E-01
-2.345500E-06,-8.850000E-01
-2.345000E-06,-8.751667E-01
-2.344500E-06,-8.751667E-01
-2.344000E-06,-8.653333E-01
-2.343500E-06,-8.850000E-01
-2.343000E-06,-8.751667E-01
-2.342500E-06,-8.850000E-01
-2.342000E-06,-8.751667E-01
-2.341500E-06,-8.850000E-01
-2.341000E-06,-8.850000E-01
-2.340500E-06,-8.850000E-01
-2.340000E-06,-8.751667E-01
-2.339500E-06,-8.850000E-01
-2.339000E-06,-8.751667E-01
-2.338500E-06,-8.850000E-01
-2.338000E-06,-8.751667E-01
-2.337500E-06,-8.850000E-01
-2.337000E-06,-8.751667E-01
-2.336500E-06,-8.850000E-01
-2.336000E-06,-8.751667E-01
-2.335500E-06,-8.850000E-01
-2.335000E-06,-8.850000E-01
-2.334500E-06,-8.850000E-01
-2.334000E-06,-8.751667E-01
-2.333500E-06,-8.850000E-01
-2.333000E-06,-8.850000E-01
-2.332500E-06,-8.850000E-01
-2.332000E-06,-8.751667E-01
-2.331500E-06,-8.850000E-01
-2.331000E-06,-8.850000E-01
-2.330500E-06,-8.850000E-01
-2.330000E-06,-8.751667E-01
-2.329500E-06,-8.948333E-01
-2.329000E-06,-8.850000E-01
-2.328500E-06,-8.850000E-01
-2.328000E-06,-8.751667E-01
-2.327500E-06,-8.948333E-01
-2.327000E-06,-8.850000E-01
-2.326500E-06,-8.850000E-01
-2.326000E-06,-8.850000E-01
-2.325500E-06,-8.948333E-01
-2.325000E-06,-8.850000E-01
-2.324500E-06,-8.948333E-01
-2.324000E-06,-8.850000E-01
-2.323500E-06,-8.948333E-01
-2.323000E-06,-8.850000E-01
-2.322500E-06,-8.948333E-01
-2.322000E-06,-8.850000E-01
-2.321500E-06,-8.948333E-01
-2.321000E-06,-8.948333E-01
-2.320500E-06,-8.948333E-01
-2.320000E-06,-8.850000E-01
-2.319500E-06,-8.948333E-01
-2.319000E-06,-8.850000E-01
-2.318500E-06,-8.948333E-01
-2.318000E-06,-8.850000E-01
-2.317500E-06,-8.948333E-01
-2.317000E-06,-8.850000E-01
-2.316500E-06,-8.948333E-01
-2.316000E-06,-8.850000E-01
-2.315500E-06,-8.948333E-01
-2.315000E-06,-8.948333E-01
-2.314500E-06,-8.948333E-01
-2.314000E-06,-8.850000E-01
-2.313500E-06,-8.948333E-01
-2.313000E-06,-8.948333E-01
-2.312500E-06,-8.948333E-01
-2.312000E-06,-8.850000E-01
-2.311500E-06,-8.948333E-01
-2.311000E-06,-8.948333E-01
-2.310500E-06,-8.948333E-01
-2.310000E-06,-8.850000E-01
-2.309500E-06,-8.948333E-01
-2.309000E-06,-8.948333E-01
-2.308500E-06,-8.948333E-01
-2.308000E-06,-8.850000E-01
-2.307500E-06,-8.948333E-01
-2.307000E-06,-8.948333E-01
-2.306500E-06,-8.948333E-01
-2.306000E-06,-8.948333E-01
-2.305500E-06,-8.948333E-01
-2.305000E-06,-8.948333E-01
-2.304500E-06,-9.046667E-01
-2.304000E-06,-8.948333E-01
-2.303500E-06,-8.948333E-01
-2.303000E-06,-8.948333E-01
-2.302500E-06,-9.046667E-01
-2.302000E-06,-8.948333E-01
-2.301500E-06,-9.046667E-01
-2.301000E-06,-8.948333E-01
-2.300500E-06,-9.046667E-01
-2.300000E-06,-8.948333E-01
-2.299500E-06,-9.046667E-01
-2.299000E-06,-8.948333E-01
-2.298500E-06,-9.046667E-01
-2.298000E-06,-8.948333E-01
-2.297500E-06,-9.046667E-01
-2.297000E-06,-9.046667E-01
-2.296500E-06,-9.046667E-01
-2.296000E-06,-8.948333E-01
-2.295500E-06,-9.046667E-01
-2.295000E-06,-9.046667E-01
-2.294500E-06,-9.046667E-01
-2.294000E-06,-8.948333E-01
-2.293500E-06,-9.046667E-01
-2.293000E-06,-9.046667E-01
-2.292500E-06,-9.046667E-01
-2.292000E-06,-8.948333E-01
-2.291500E-06,-9.046667E-01
-2.291000E-06,-9.046667E-01
-2.290500E-06,-9.046667E-01
-2.290000E-06,-8.948333E-01
-2.289500E-06,-9.046667E-01
-2.289000E-06,-8.948333E-01
-2.288500E-06,-9.046667E-01
-2.288000E-06,-8.948333E-01
-2.287500E-06,-9.046667E-01
-2.287000E-06,-9.046667E-01
-2.286500E-06,-9.046667E-01
-2.286000E-06,-8.948333E-01
-2.285500E-06,-9.046667E-01
-2.285000E-06,-9.046667E-01
-2.284500E-06,-9.145000E-01
-2.284000E-06,-8.948333E-01
-2.283500E-06,-9.046667E-01
-2.283000E-06,-9.046667E-01
-2.282500E-06,-9.145000E-01
-2.282000E-06,-8.948333E-01
-2.281500E-06,-9.046667E-01
-2.281000E-06,-9.046667E-01
-2.280500E-06,-9.145000E-01
-2.280000E-06,-8.948333E-01
-2.279500E-06,-9.046667E-01
-2.279000E-06,-9.046667E-01
-2.278500E-06,-9.145000E-01
-2.278000E-06,-9.046667E-01
-2.277500E-06,-9.046667E-01
-2.277000E-06,-9.046667E-01
-2.276500E-06,-9.145000E-01
-2.276000E-06,-9.046667E-01
-2.275500E-06,-9.046667E-01
-2.275000E-06,-9.046667E-01
-2.274500E-06,-9.145000E-01
-2.274000E-06,-9.046667E-01
-2.273500E-06,-9.046667E-01
-2.273000E-06,-9.046667E-01
-2.272500E-06,-9.145000E-01
-2.272000E-06,-9.046667E-01
-2.271500E-06,-9.145000E-01
-2.271000E-06,-9.046667E-01
-2.270500E-06,-9.145000E-01
-2.270000E-06,-9.046667E-01
-2.269500E-06,-9.145000E-01
-2.269000E-06,-9.145000E-01
-2.268500E-06,-9.145000E-01
-2.268000E-06,-9.046667E-01
-2.267500E-06,-9.145000E-01
-2.267000E-06,-9.046667E-01
-2.266500E-06,-9.145000E-01
-2.266000E-06,-9.046667E-01
-2.265500E-06,-9.145000E-01
-2.265000E-06,-9.145000E-01
-2.264500E-06,-9.145000E-01
-2.264000E-06,-9.046667E-01
-2.263500E-06,-9.145000E-01
-2.263000E-06,-9.145000E-01
-2.262500E-06,-9.145000E-01
-2.262000E-06,-9.046667E-01
-2.261500E-06,-9.145000E-01
-2.261000E-06,-9.145000E-01
-2.260500E-06,-9.145000E-01
-2.260000E-06,-9.046667E-01
-2.259500E-06,-9.145000E-01
-2.259000E-06,-9.145000E-01
-2.258500E-06,-9.145000E-01
-2.258000E-06,-9.046667E-01
-2.257500E-06,-9.145000E-01
-2.257000E-06,-9.145000E-01
-2.256500E-06,-9.145000E-01
-2.256000E-06,-9.046667E-01
-2.255500E-06,-9.145000E-01
-2.255000E-06,-9.145000E-01
-2.254500E-06,-9.145000E-01
-2.254000E-06,-9.046667E-01
-2.253500E-06,-9.145000E-01
-2.253000E-06,-9.145000E-01
-2.252500E-06,-9.145000E-01
-2.252000E-06,-9.046667E-01
-2.251500E-06,-9.145000E-01
-2.251000E-06,-9.145000E-01
-2.250500E-06,-9.243333E-01
-2.250000E-06,-9.046667E-01
-2.249500E-06,-9.145000E-01
-2.249000E-06,-9.145000E-01
-2.248500E-06,-9.243333E-01
-2.248000E-06,-9.145000E-01
-2.247500E-06,-9.243333E-01
-2.247000E-06,-9.145000E-01
-2.246500E-06,-9.145000E-01
-2.246000E-06,-9.145000E-01
-2.245500E-06,-9.243333E-01
-2.245000E-06,-9.145000E-01
-2.244500E-06,-9.243333E-01
-2.244000E-06,-9.145000E-01
-2.243500E-06,-9.243333E-01
-2.243000E-06,-9.145000E-01
-2.242500E-06,-9.243333E-01
-2.242000E-06,-9.145000E-01
-2.241500E-06,-9.145000E-01
-2.241000E-06,-9.145000E-01
-2.240500E-06,-9.243333E-01
-2.240000E-06,-9.145000E-01
-2.239500E-06,-9.243333E-01
-2.239000E-06,-9.145000E-01
-2.238500E-06,-9.243333E-01
-2.238000E-06,-9.145000E-01
-2.237500E-06,-9.243333E-01
-2.237000E-06,-9.145000E-01
-2.236500E-06,-9.243333E-01
-2.236000E-06,-9.145000E-01
-2.235500E-06,-9.243333E-01
-2.235000E-06,-9.145000E-01
-2.234500E-06,-9.243333E-01
-2.234000E-06,-9.145000E-01
-2.233500E-06,-9.243333E-01
-2.233000E-06,-9.145000E-01
-2.232500E-06,-9.243333E-01
-2.232000E-06,-9.145000E-01
-2.231500E-06,-9.243333E-01
-2.231000E-06,-9.243333E-01
-2.230500E-06,-9.243333E-01
-2.230000E-06,-9.145000E-01
-2.229500E-06,-9.243333E-01
-2.229000E-06,-9.243333E-01
-2.228500E-06,-9.243333E-01
-2.228000E-06,-9.145000E-01
-2.227500E-06,-9.243333E-01
-2.227000E-06,-9.243333E-01
-2.226500E-06,-9.243333E-01
-2.226000E-06,-9.145000E-01
-2.225500E-06,-9.243333E-01
-2.225000E-06,-9.243333E-01
-2.224500E-06,-9.243333E-01
-2.224000E-06,-9.145000E-01
-2.223500E-06,-9.243333E-01
-2.223000E-06,-9.243333E-01
-2.222500E-06,-9.243333E-01
-2.222000E-06,-9.145000E-01
-2.221500E-06,-9.243333E-01
-2.221000E-06,-9.243333E-01
-2.220500E-06,-9.243333E-01
-2.220000E-06,-9.145000E-01
-2.219500E-06,-9.243333E-01
-2.219000E-06,-9.243333E-01
-2.218500E-06,-9.243333E-01
-2.218000E-06,-9.145000E-01
-2.217500E-06,-9.243333E-01
-2.217000E-06,-9.243333E-01
-2.216500E-06,-9.341667E-01
-2.216000E-06,-9.243333E-01
-2.215500E-06,-9.243333E-01
-2.215000E-06,-9.243333E-01
-2.214500E-06,-9.341667E-01
-2.214000E-06,-9.145000E-01
-2.213500E-06,-9.243333E-01
-2.213000E-06,-9.243333E-01
-2.212500E-06,-9.341667E-01
-2.212000E-06,-9.145000E-01
-2.211500E-06,-9.243333E-01
-2.211000E-06,-9.243333E-01
-2.210500E-06,-9.341667E-01
-2.210000E-06,-9.145000E-01
-2.209500E-06,-9.243333E-01
-2.209000E-06,-9.243333E-01
-2.208500E-06,-9.341667E-01
-2.208000E-06,-9.145000E-01
-2.207500E-06,-9.243333E-01
-2.207000E-06,-9.243333E-01
-2.206500E-06,-9.341667E-01
-2.206000E-06,-9.243333E-01
-2.205500E-06,-9.243333E-01
-2.205000E-06,-9.243333E-01
-2.204500E-06,-9.341667E-01
-2.204000E-06,-9.243333E-01
-2.203500E-06,-9.243333E-01
-2.203000E-06,-9.243333E-01
-2.202500E-06,-9.341667E-01
-2.202000E-06,-9.243333E-01
-2.201500E-06,-9.341667E-01
-2.201000E-06,-9.243333E-01
-2.200500E-06,-9.341667E-01
-2.200000E-06,-9.243333E-01
-2.199500E-06,-9.341667E-01
-2.199000E-06,-9.243333E-01
-2.198500E-06,-9.341667E-01
-2.198000E-06,-9.243333E-01
-2.197500E-06,-9.341667E-01
-2.197000E-06,-9.243333E-01
-2.196500E-06,-9.341667E-01
-2.196000E-06,-9.243333E-01
-2.195500E-06,-9.341667E-01
-2.195000E-06,-9.243333E-01
-2.194500E-06,-9.341667E-01
-2.194000E-06,-9.243333E-01
-2.193500E-06,-9.243333E-01
-2.193000E-06,-9.243333E-01
-2.192500E-06,-9.341667E-01
-2.192000E-06,-9.243333E-01
-2.191500E-06,-9.341667E-01
-2.191000E-06,-9.243333E-01
-2.190500E-06,-9.341667E-01
-2.190000E-06,-9.243333E-01
-2.189500E-06,-9.341667E-01
-2.189000E-06,-9.243333E-01
-2.188500E-06,-9.341667E-01
-2.188000E-06,-9.243333E-01
-2.187500E-06,-9.243333E-01
-2.187000E-06,-9.243333E-01
-2.186500E-06,-9.341667E-01
-2.186000E-06,-9.243333E-01
-2.185500E-06,-9.341667E-01
-2.185000E-06,-9.243333E-01
-2.184500E-06,-9.341667E-01
-2.184000E-06,-9.243333E-01
-2.183500E-06,-9.341667E-01
-2.183000E-06,-9.243333E-01
-2.182500E-06,-9.341667E-01
-2.182000E-06,-9.243333E-01
-2.181500E-06,-9.341667E-01
-2.181000E-06,-9.341667E-01
-2.180500E-06,-9.341667E-01
-2.180000E-06,-9.243333E-01
-2.179500E-06,-9.341667E-01
-2.179000E-06,-9.341667E-01
-2.178500E-06,-9.341667E-01
-2.178000E-06,-9.243333E-01
-2.177500E-06,-9.341667E-01
-2.177000E-06,-9.341667E-01
-2.176500E-06,-9.341667E-01
-2.176000E-06,-9.243333E-01
-2.175500E-06,-9.341667E-01
-2.175000E-06,-9.341667E-01
-2.174500E-06,-9.341667E-01
-2.174000E-06,-9.243333E-01
-2.173500E-06,-9.341667E-01
-2.173000E-06,-9.341667E-01
-2.172500E-06,-9.341667E-01
-2.172000E-06,-9.243333E-01
-2.171500E-06,-9.341667E-01
-2.171000E-06,-9.341667E-01
-2.170500E-06,-9.440000E-01
-2.170000E-06,-9.243333E-01
-2.169500E-06,-9.341667E-01
-2.169000E-06,-9.341667E-01
-2.168500E-06,-9.440000E-01
-2.168000E-06,-9.243333E-01
-2.167500E-06,-9.341667E-01
-2.167000E-06,-9.341667E-01
-2.166500E-06,-9.341667E-01
-2.166000E-06,-9.243333E-01
-2.165500E-06,-9.341667E-01
